BUSINESS ANALYST,ATALINK TECHNOLOGY JOINT STOCK COMPANY,16/05/2021,Trên 20 triệu,Toàn thời gian,1 người,Nhân viên,3 năm,Không yêu cầu,Hồ Chí Minh
PHÂN TÍCH NGHIỆP VỤ,CÔNG TY CỔ PHẦN GIẢI PHÁP THÔNG MINH PHENIKAA,31/05/2021,Thoả thuận,Toàn thời gian,Không giới hạn,Trưởng nhóm,3 năm,Không yêu cầu,Hà Nội
Công ty Cổ phần Masscom Việt Nam,19/06/2021,10-12 triệu,Toàn thời gian,1 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội,
REACTJS,Công ty TNHH Tổng công ty Công nghệ & Giải pháp CMC,16/05/2021,Tới 30 triệu,Toàn thời gian,5 người,Nhân viên,2 năm,Không yêu cầu,Hà Nội
QUẢN TRỊ HỆ THỐNG,Công ty Cổ phần Tin học viễn thông Petrolimex,16/05/2021,Trên 13 triệu,Toàn thời gian,Không giới hạn,Nhân viên,Không yêu cầu,Nam,Hà Nội
IOS DEVELOPER,Công ty Cổ Phần Rikkeisoft,15/06/2021,Tới 35 triệu,Toàn thời gian,10 người,Nhân viên,Không yêu cầu,Không yêu cầu,Hà Nội
TESTER,Công ty cổ phần công nghệ BLAMEO Việt Nam,"1/05/2021
",Tới 20 triệu,Toàn thời gian,10 người,Nhân viên,Không yêu cầu,Không yêu cầu,Hà Nội
SEO,Công ty TNHH Dịch vụ Quảng cáo Thanh Bình,15/05/2021,12-16 triệu,Toàn thời gian,2 người,Trưởng nhóm,1 năm,Không yêu cầu,Hồ Chí Minh
NHÂN VIÊN KINH DOANH,CÔNG TY TNHH VIỄN THÔNG - CÔNG NGHỆ GIANG ANH,15/05/2021,7-15 triệu,Toàn thời gian,5 người,Nhân viên,1 năm,Không yêu cầu,Hà Nam
NHÂN VIÊN KỸ THUẬT,CÔNG TY TNHH VIỄN THÔNG - CÔNG NGHỆ GIANG ANH,15/05/2021,7-15 triệu,Toàn thời gian,5 người,Nhân viên,1 năm,Không yêu cầu,Hà Nam
Zitga studios,15/05/2021,Tới 35 triệu,Toàn thời gian,2 người,Nhân viên,Dưới 1 năm,Không yêu cầu,Hà Nội,
GRAPHIC DESIGNER,CÔNG TY CỔ PHẦN GENESYS,31/05/2021,3-5 triệu,Toàn thời gian,Không giới hạn,Nhân viên,Không yêu cầu,Không yêu cầu,Hồ Chí Minh
Tập đoàn BRG,15/05/2021, Tới 25 triệu,Toàn thời gian,2 người,Nhân viên,2 năm,Không yêu cầu,Hà Nội,
REACTJS,ArrowHiTech JSC,14/07/2021,Thoả thuận,Toàn thời gian,Không giới hạn,Trưởng nhóm,3 năm,Không yêu cầu,Hà Nội
NHÂN VIÊN MARKETING,Công Audio,15/05/2021,Trên 10 triệu,Toàn thời gian,3 người,Nhân viên,1 năm,Nam,Hà Nội
Công Ty Gzone,15/05/2021,Tới 12 triệu,Toàn thời gian,2 người,Nhân viên,Không yêu cầu,Không yêu cầu,Hà Nội,
Hệ thống giáo dục Edufit,15/05/2021,16-25 triệu,Toàn thời gian,Không giới hạn,Trưởng nhóm,3 năm,Không yêu cầu,Hà Nội,
LẬP TRÌNH VIÊN .NET,CÔNG TY CỔ PHẦN THƯƠNG MẠI CÔNG NGHỆ THÔNG TIN DI ĐỘNG,30/05/2021,10-18 triệu,Toàn thời gian,2 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
FRONTEND DEVELOPER,Tổ Chức Nhân Sự IKIGAI,15/05/2021,10-35 triệu,Toàn thời gian,3 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
WEB DEVELOPER,CÔNG TY CỔ PHẦN THƯƠNG MẠI CÔNG NGHỆ THÔNG TIN DI ĐỘNG,31/05/2021,12-18 triệu,Toàn thời gian,2 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
CÔNG TY TNHH JAMALEX,15/05/2021,Thoả thuận,Toàn thời gian,1 người,Trưởng nhóm,2 năm,Không yêu cầu,Hồ Chí Minh,
NODEJS,CÔNG TY TNHH JAMALEX,15/05/2021,Thoả thuận,Toàn thời gian,2 người,Nhân viên,1 năm,Không yêu cầu,Hồ Chí Minh
JAVASCRIPT DEVELOPER,CÔNG TY TNHH JAMALEX,"5/05/2021
",Thoả thuận,Toàn thời gian,2 người,Nhân viên,Không yêu cầu,Không yêu cầu,Hồ Chí Minh
BACKEND DEVELOPER,CÔNG TY TNHH JAMALEX,15/05/2021,Thoả thuận,Toàn thời gian,2 người,Nhân viên,2 năm,Không yêu cầu,Hồ Chí Minh
CÔNG TY TNHH CÔNG NGHỆ MẠNG THÔNG TIN VIỆT NAM (VN NGÀY NAY),15/05/2021,Thoả thuận,Toàn thời gian,1 người,Nhân viên,Dưới 1 năm,Không yêu cầu,Hồ Chí Minh,
QUẢN TRỊ HỆ THỐNG,AWING TECHNOLOGIES & MEDIA JSC,15/05/2021,Thoả thuận,Toàn thời gian,1 người,Nhân viên,1 năm,Nam,Hà Nội
Công Ty Tnhh Khoáng Sản Đầu Tư Hưng Thịnh,14/06/2021,10-15 triệu,Toàn thời gian,1 người,Nhân viên,2 năm,Nam,Hồ Chí Minh,
KẾ TOÁN,Công ty cổ phần MISA - Trung tâm Phát triển phần mềm,15/05/2021,12-20 triệu,Toàn thời gian,3 người,Nhân viên,3 năm,Không yêu cầu,Hà Nội
TESTER,Công ty cổ phần MISA - Trung tâm Phát triển phần mềm,15/05/2021,9-16 triệu,Toàn thời gian,2 người,Nhân viên,Không yêu cầu,Không yêu cầu,Hà Nội
BUSINESS ANALYST,Công ty cổ phần MISA - Trung tâm Phát triển phần mềm,15/05/2021,10-18 triệu,Toàn thời gian,3 người,Nhân viên,Không yêu cầu,Không yêu cầu,Hà Nội
Công ty cổ phần MISA - Trung tâm Phát triển phần mềm,10/08/2021,3-10 triệu,Thực tập,Không giới hạn,Thực tập sinh,Không yêu cầu,Không yêu cầu,Hà Nội,
THỰC TẬP SINH,Công ty cổ phần MISA - Trung tâm Phát triển phần mềm,15/05/2021,Thoả thuận,Thực tập,15 người,Thực tập sinh,Không yêu cầu,Không yêu cầu,Hà Nội
NHÂN VIÊN MARKETING,CÔNG TY TNHH ĐỆ NHẤT Ô TÔ,15/05/2021,Trên 7 triệu,Toàn thời gian,3 người,Nhân viên,Không yêu cầu,Không yêu cầu,Hồ Chí Minh
DATA ANALYST,CÔNG TY TNHH GIẢI PHÁP CÔNG NGHỆ BIZ4,15/05/2021, Thoả thuận,Toàn thời gian,1 người,Trưởng nhóm,3 năm,Không yêu cầu,Hồ Chí Minh
BACKEND ENGINEER,Công ty TNHH MTV Propzy Việt Nam,14/07/2021,Thoả thuận,Toàn thời gian,Không giới hạn,Nhân viên,3 năm,Không yêu cầu,Hồ Chí Minh
FRONTEND ENGINEER,Công ty TNHH MTV Propzy Việt Nam,14/07/2021,"Thoả thuận
",Toàn thời gian,Không giới hạn,Nhân viên,3 năm,Không yêu cầu,Hồ Chí Minh
PYTHON,Splus Software,15/05/2021,8-14 triệu,Toàn thời gian,2 người,Nhân viên,Dưới 1 năm,Không yêu cầu,Hồ Chí Minh
FRONT-END DEVELOPER,CÔNG TY TNHH TULPO SOFTWARE,15/05/2021,Thoả thuận,Toàn thời gian,4 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
Công ty TNHH phần mềm Kaopiz,19/06/2021,Tới 35 triệu,Toàn thời gian,2 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội,
CÔNG TY CP PHẦN MỀM SÀI GÒN MỚI,18/07/2021,10-30 triệu,Toàn thời gian,4 người,Nhân viên,1 năm,Nam,Hồ Chí Minh,
PHP,CÔNG TY TNHH CÔNG NGHỆ KAIYOU IT QUỐC TẾ,05/06/2021,Tới 35 triệu,Toàn thời gian,1 người,Trưởng nhóm,2 năm,Không yêu cầu,Hà Nội
CHĂM SÓC KHÁCH HÀNG,"HERAMO CO., LTD",15/05/2021,2-5 triệu,Bán thời gian,2 người,Nhân viên,Không yêu cầu,Nữ,Hồ Chí Minh
SEO,CÔNG TY CP VTC DỊCH VỤ DI ĐỘNG,14/07/2021,12-15 triệu,Toàn thời gian,2 người,Nhân viên,1 năm,Không yêu cầu,Hai Bà Trưng
NHÂN VIÊN KINH DOANH,Công Ty TNHH Smart Tech Home,15/05/2021,Thoả thuận,Toàn thời gian,2 người,Nhân viên,Dưới 1 năm,Nữ,Thừa Thiên Huế
MARKETING LEADER,CÔNG TY CP VTC DỊCH VỤ DI ĐỘNG,14/07/2021,15-20 triệu,Toàn thời gian,2 người,Trưởng nhóm,3 năm,Không yêu cầu,Hai Bà Trưng
MARKETING EXECUTIVE,CÔNG TY CP VTC DỊCH VỤ DI ĐỘNG,14/07/2021,12-15 triệu,Toàn thời gian,6 người,Nhân viên,2 năm,Không yêu cầu,Hai Bà Trưng
DEVOPS,Công ty TNHH phần mềm Kaopiz,19/06/2021,Tới 35 triệu,Toàn thời gian,1 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
Viettel R&D Institute,"5/05/2021
",Tới 50 triệu,Toàn thời gian,10 người,Nhân viên,Không yêu cầu,Không yêu cầu,Hà Nội,
NODEJS,CÔNG TY TNHH PHẦN MỀM B&K,15/05/2021,Thoả thuận,Toàn thời gian,3 người,Nhân viên,2 năm,Không yêu cầu,Hồ Chí Minh
LẬP TRÌNH VIÊN,Công ty Cổ phần Công nghệ CoSoft Việt Nam,14/07/2021,Trên 15 triệu,Toàn thời gian,3 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
Công ty Cổ phần Công nghệ CoSoft Việt Nam,14/07/2021,Trên 15 triệu,Toàn thời gian,4 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội,
DEVELOPER,Công ty Cổ phần Đầu tư Công nghệ F99,15/05/2021,Thoả thuận,Toàn thời gian,2 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
BUSINESS ANALYST,Công ty Cổ phần Công nghệ CoSoft Việt Nam,14/07/2021,Trên 8 triệu,Toàn thời gian,1 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
DIGITAL MARKETING,Aroma Tiếng Anh Cho Người Đi Làm,24/05/2021,8-15 triệu,Toàn thời gian,2 người,Nhân viên,Dưới 1 năm,Không yêu cầu,Hà Nội
FRONT-END DEVELOPER,CÔNG TY CP ỨNG DỤNG VÀ PHÁT TRIỂN CÔNG NGHỆ TOÀN CẦU SMC,12/06/2021,Tới 30 triệu,Toàn thời gian,Không giới hạn,Nhân viên,Không yêu cầu,Không yêu cầu,Hà Nội
DIGITAL MARKETING,CÔNG TY CỔ PHẦN THƯƠNG MẠI DỊCH VỤ FOOTEC,20/05/2021,10-15 triệu,Toàn thời gian,1 người,Nhân viên,1 năm,Không yêu cầu,Hải Phòng
Công ty cổ phần VGP,16/06/2021,6-8 triệu,Toàn thời gian,1 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội,
LẬP TRÌNH VIÊN JAVA,Công ty Cổ Phần Dịch vụ Di động Thể Hệ Mới (NMS):,15/05/2021,12-17 triệu,Toàn thời gian,2 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
NHÂN VIÊN IT,Long Hoàng SECURITE,15/05/2021,Trên 9 triệu,Toàn thời gian,2 người,Nhân viên,Không yêu cầu,Không yêu cầu,Hồ Chí Minh
Công Ty TNHH Universal Procurement Systems Viet Nam,14/05/2021,Trên 9 triệu,Toàn thời gian,1 người,Nhân viên,1 năm,Không yêu cầu,Hồ Chí Minh,
UX DESIGNER,Zitga studios,15/05/2021,Thoả thuận,Toàn thời gian,3 người,Nhân viên,Dưới 1 năm,Không yêu cầu,Hồ Chí Minh
ANDROID,Công ty Phát triển giải pháp và Công nghệ thông tin Việt Nam,03/07/2021, 10-18 triệu,Toàn thời gian,3 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
UI/UX DESIGNER,Công ty Phát triển giải pháp và Công nghệ thông tin Việt Nam,14/06/2021,Tới 15 triệu,Toàn thời gian,2 người,Nhân viên,Dưới 1 năm,Không yêu cầu,Hà Nội
MindX Technology School,15/06/2021,Thoả thuận,Bán thời gian,20 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội,
DATA ANALYST,MindX Technology School,26/05/2021,Thoả thuận,Bán thời gian,20 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
MindX Technology School,29/06/2021,Thoả thuận,Bán thời gian,20 người,Nhân viên,Không yêu cầu,Không yêu cầu,Hà Nội,
Công ty TNHH Advantech Việt Nam Technology,23/05/2021,10-15 triệu,Toàn thời gian,2 người,Nhân viên,2 năm,Nam,Hà Nội,
