,company,title,date,salary,workingform,target,position,experience,sex,city
605,IT HELPDESK,Công ty TNHH Giải pháp và Dịch vụ cao cấp,03/06/2021,Thoả thuận,Toàn thời gian,2 người,Thực tập sinh,Không yêu cầu,Không yêu cầu,Hà Nội
606,NHÂN VIÊN IT,Công ty TNHH Giải pháp và Dịch vụ cao cấp,03/07/2021,Thoả thuận,Toàn thời gian,2 người,Nhân viên,2 năm,Không yêu cầu,Hà Nội
607,DEVOPS,Công ty CP Đổi mới Công nghệ tài chính Fiin,03/06/2021,Tới 25 triệu,Toàn thời gian,1 người,Nhân viên,1 năm,Nam,Hà Nội
608,Công ty TNHH EDPA VIỆT NAM,,08/06/2021,Tới 30 triệu,Toàn thời gian,Không giới hạn,Nhân viên,Không yêu cầu,Không yêu cầu,Hà Nội
609,NHÂN VIÊN KINH DOANH,Cổ phần truyền thông Khởi Đầu Mới,30/06/2021,Thoả thuận,Toàn thời gian,3 người,Nhân viên,Không yêu cầu,Không yêu cầu,Hà Nội
610,NHÂN VIÊN KINH DOANH,Công ty CP phần mềm Châu Á Thái Bình Dương,18/06/2021,10-20 triệu,Toàn thời gian,5 người,Nhân viên,Dưới 1 năm,Không yêu cầu,Hà Nội
611,UI DESIGNER,Công ty CP Công Nghệ Just- In- Time Solutions,03/06/2021,Thoả thuận,Toàn thời gian,1 người,Nhân viên,Không yêu cầu,Không yêu cầu,Hồ Chí Minh
612,Công ty cổ phần giáo dục Amber Academy,,03/06/2021,Trên 8 triệu,Toàn thời gian,2 người,Nhân viên,Không yêu cầu,Không yêu cầu,Hà Nội
613,XỬ LÝ DỮ LIỆU,CÔNG TY TNHH INFINIQ VIỆT NAM,03/06/2021,Trên 5 triệu,Bán thời gian,10 người,Thực tập sinh,Không yêu cầu,Không yêu cầu,Hà Nội
614,PHÂN TÍCH NGHIỆP VỤ,Công ty Cổ phần Đầu tư Phát triển Công nghệ Điện tử Viễn thông,03/06/2021,Tới 20 triệu,Toàn thời gian,2 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
615,DIGITAL MARKETING,Công ty TNHH Diệu Phương Đường,03/06/2021,Trên 10 triệu,Toàn thời gian,5 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
616,JAVA DEVELOPER,Công ty TNHH Thương Mại và Dịch Vụ Tri Thức Mới,03/06/2021,Trên 25 triệu,Toàn thời gian,3 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
617,NHÂN VIÊN KỸ THUẬT,Công Ty TNHH Thương Mại Kỹ Thuật Thanh Tân,03/06/2021,Thoả thuận,Toàn thời gian,2 người,Nhân viên,Không yêu cầu,Nam,Hồ Chí Minh
618,TESTER,Công ty CP MindBank Group,03/06/2021,12-25 triệu,Toàn thời gian,15 người,Nhân viên,2 năm,Không yêu cầu,Hà Nội
619,DEVELOPER,Công ty TNHH WAV,03/06/2021,Tới 40 triệu,Remote - Làm việc từ xa,10 người,Nhân viên,Không yêu cầu,Không yêu cầu,Hà Nội
620,Công ty TNHH Dịch vụ Thương mại Yes4All,,04/06/2021,Thoả thuận,Toàn thời gian,Không giới hạn,Nhân viên,2 năm,Không yêu cầu,Hồ Chí Minh
621,Tek experts Vietnam,,03/07/2021,Thoả thuận,Toàn thời gian,Không giới hạn,Nhân viên,Không yêu cầu,Không yêu cầu,Hà Nội
622,TESTER,Công Ty Cổ Phần Global Online Branding,03/06/2021,Thoả thuận,Thực tập,Không giới hạn,Thực tập sinh,Không yêu cầu,Không yêu cầu,Hồ Chí Minh
623,REACTJS,Công Ty Cổ Phần Global Online Branding,"3/06/2021
",Thoả thuận,Toàn thời gian,Không giới hạn,Nhân viên,1 năm,Không yêu cầu,Hồ Chí Minh
624,Công Ty Cổ Phần Global Online Branding,,03/06/2021,10-18 triệu,Toàn thời gian,Không giới hạn,Nhân viên,1 năm,Không yêu cầu,Hồ Chí Minh
625,JAVA DEVELOPER,CÔNG TY CỔ PHẦN PHẦN MỀM MIRAI VIỆT NAM,03/06/2021,Trên 15 triệu,Toàn thời gian,Không giới hạn,Nhân viên,1 năm,Không yêu cầu,Hà Nội
