,company,title,date,salary,workingform,target,position,experience,sex,city
0,LẬP TRÌNH VIÊN JAVA,Công ty TNHH Paraline Việt Nam,06/06/2021,16-30 triệu,Toàn thời gian,3 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
1,LẬP TRÌNH VIÊN PHP,Tigren Solutions,16/06/2021,Tới 50 triệu,Toàn thời gian,3 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
2,MARKETING,CÔNG TY TNHH E.I.G,23/05/2021,Thoả thuận,Toàn thời gian,2 người,Nhân viên,Không yêu cầu,Không yêu cầu,Hồ Chí Minh
3,CONTENT WRITER,Phòng Khám Da Liễu Sài Gòn,06/08/2021,Trên 7 triệu,Toàn thời gian,1 người,Nhân viên,1 năm,Không yêu cầu,Hồ Chí Minh
4,NHÂN VIÊN KINH DOANH,Công ty Cổ phần Chứng thực số Toàn Cầu Việt Nam,19/05/2021,7-20 triệu,Toàn thời gian,5 người,Nhân viên,Không yêu cầu,Nam,Hà Nội
5,CÔNG TY TNHH VAREAL VIỆT NAM,,05/06/2021,Thoả thuận,Toàn thời gian,5 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
6,ASP.NET,Crossian,23/05/2021,20-45 triệu,Toàn thời gian,Không giới hạn,Nhân viên,1 năm,Không yêu cầu,Hà Nội
7,ANDROID,Công ty cổ phần SEGU Việt Nam,19/05/2021,Tới 17 triệu,Toàn thời gian,5 người,Nhân viên,Dưới 1 năm,Không yêu cầu,Hà Nội
8,FRONT-END DEVELOPER,Công ty TNHH GrExpress,27/05/2021,Tới 40 triệu,Toàn thời gian,5 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
9,LẬP TRÌNH VIÊN JAVA,Công ty cổ phần Telsoft,16/06/2021,Trên 15 triệu,Toàn thời gian,5 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
10,CHUYÊN VIÊN KINH DOANH,CÔNG TY CỔ PHẦN HTC VIỄN THÔNG QUỐC TẾ,03/06/2021,Tới 50 triệu,Toàn thời gian,20 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
11,Công ty Cổ phần Máy tính Vĩnh Xuân,,24/05/2021,Thoả thuận,Toàn thời gian,3 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
12,NHÂN VIÊN SEO,Công ty CP xuất nhập khẩu APO,07/06/2021,7-12 triệu,Toàn thời gian,5 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
13,DEVELOPER,CÔNG TY CỔ PHẦN HELIGATE,20/05/2021,Tới 25 triệu,Toàn thời gian,3 người,Nhân viên,2 năm,Nam,Hà Nội
14,DIGITAL MARKETING,CÔNG TY TNHH DP HARIFO,08/06/2021,Tới 20 triệu,Toàn thời gian,3 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
15,PHP,CÔNG TY TNHH ĐẦU TƯ VÀ DỊCH VỤ GIÁO DỤC VIETJACK,26/05/2021,15-45 triệu,Toàn thời gian,Không giới hạn,Nhân viên,1 năm,Không yêu cầu,Hà Nội
16,Công ty Cổ phần Đầu tư Phát triển Công nghệ Điện tử Viễn thông,,15/06/2021, Trên 15 triệu,Toàn thời gian,3 người,Nhân viên,2 năm,Không yêu cầu,Hà Nội
17,TESTER,ShopDunk - Công ty CP HESMAN,06/08/2021,12-15 triệu,Toàn thời gian,2 người,Nhân viên,2 năm,Không yêu cầu,Hà Nội
18,LẬP TRÌNH PHP,Công Ty Cổ Phần Công Nghệ Giáo Dục OMNI School,28/05/2021,Thoả thuận,Toàn thời gian,2 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
19,REACTJS,CÔNG TY CỔ PHẦN ĐẦU TƯ PHÁT TRIỂN THẦN NÔNG,26/05/2021,"10-20 triệu
",Toàn thời gian,2 người,Nhân viên,2 năm,Không yêu cầu,Hà Nội
20,LẬP TRÌNH VIÊN PHP,Công Ty Cổ Phần Giải Pháp BRITE,05/06/2021,10-20 triệu,Toàn thời gian,3 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
21,VIDEO EDITOR,Công ty TNHH Vietlove,20/05/2021,5-8 triệu,Toàn thời gian,6 người,Nhân viên,Không yêu cầu,Không yêu cầu,Hà Nội
22,IT HELPDESK,Công ty cổ phần đào tạo công nghệ ITPlus,28/05/2021,7-9 triệu,Toàn thời gian,1 người,Nhân viên,Không yêu cầu,Nam,Hà Nội
23,LẬP TRÌNH VIÊN .NET,Lenful,30/06/2021,Trên 12 triệu,Toàn thời gian,4 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
24,NODEJS,CÔNG TY TNHH RABILOO,04/06/2021,10-25 triệu,Toàn thời gian,5 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
25,NHÂN VIÊN TƯ VẤN,Công ty TNHH TP-Link Technologies Việt Nam,29/05/2021,Thoả thuận,Toàn thời gian,3 người,Nhân viên,Dưới 1 năm,Không yêu cầu,Hà Nội
26,NHÂN VIÊN KINH DOANH,Công Ty Cổ Phần Công Nghệ Thông Minh,06/06/2021,10-20 triệu,Toàn thời gian,5 người,Nhân viên,Không yêu cầu,Không yêu cầu,Hà Nội
27,SEO,HaLi Group,06/07/2021,10-15 triệu,Toàn thời gian,2 người,Trưởng nhóm,2 năm,Không yêu cầu,Hồ Chí Minh
28,MARKETING FACEBOOK,HaLi Group,06/06/2021,7-20 triệu,Toàn thời gian,5 người,Nhân viên,Không yêu cầu,Không yêu cầu,Hồ Chí Minh
29,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ THIẾT BỊ TIN HỌC ĐỨC ANH,,04/06/2021,Thoả thuận,Toàn thời gian,1 người,Nhân viên,Dưới 1 năm,Nam,Gò Vấp
30,NHÂN VIÊN TƯ VẤN,CÔNG TY TNHH EXTENDMAX VIỆT NAM,07/06/2021,Thoả thuận,Toàn thời gian,5 người,Nhân viên,1 năm,Nam,Hà Nội
31,NHÂN VIÊN SEO,Công ty CP Kids Plaza,04/06/2021,6-10 triệu,Toàn thời gian,1 người,Nhân viên,Không yêu cầu,Không yêu cầu,Hà Nội
32,NHÂN VIÊN IT,Công ty CP Kids Plaza,19/05/2021,Thoả thuận,Toàn thời gian,2 người,Nhân viên,Không yêu cầu,Không yêu cầu,Hà Nội
33,LẬP TRÌNH VIÊN,CÔNG TY TNHH PHÁT TRIỂN GIẢI PHÁP PHẦN MỀM VIỆT,13/06/2021,8-20 triệu,Toàn thời gian,5 người,Nhân viên,Không yêu cầu,Không yêu cầu,Hà Nội
34,TESTER,IZISolution,03/06/2021,8-16 triệu,Toàn thời gian,5 người,Nhân viên,1 năm,Nữ,Hà Nội
35,LẬP TRÌNH VIÊN JAVA,Công Ty Cổ Phần Công Nghệ SOPEN Việt Nam,05/06/2021,Tới 20 triệu,Toàn thời gian,5 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
36,FACEBOOK MARKETING,Bệnh viện thẩm mỹ JW Hàn Quốc,28/05/2021,Thoả thuận,Toàn thời gian,1 người,Nhân viên,2 năm,Không yêu cầu,Hồ Chí Minh
37,NHÂN VIÊN SEO,CÔNG TY CỔ PHẦN TẬP ĐOÀN GCO,02/06/2021,10-15 triệu,Toàn thời gian,Không giới hạn,Nhân viên,Dưới 1 năm,Không yêu cầu,Hà Nội
38,DIGITAL MARKETING,MindX Technology School,04/06/2021,10-15 triệu,Toàn thời gian,1 người,Nhân viên,1 năm,Không yêu cầu,Hồ Chí Minh
39,NODEJS,Công ty TNHH Phần mềm iNET,06/06/2021,18-25 triệu,Toàn thời gian,2 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
40,NHÂN VIÊN KINH DOANH,CÔNG TY TNHH KHUÔN MẪU VÀ DỊCH VỤ CÔNG NGHỆ SAKURA VIỆT NAM,04/06/2021,10-17 triệu,Toàn thời gian,5 người,Nhân viên,Không yêu cầu,Nữ,Hà Nội
41,Công ty TNHH GL&GP,,29/05/2021,Thoả thuận,Toàn thời gian,1 người,Giám đốc,4 năm,Nam,Hồ Chí Minh
42,NHÂN VIÊN KINH DOANH,Công ty Cổ phần Workway,08/06/2021,20-30 triệu,Toàn thời gian,10 người,Nhân viên,Không yêu cầu,Không yêu cầu,Hồ Chí Minh
43,DEVELOPER,Công ty Cổ phần Công nghệ Tin học và Dịch vụ Goline,31/05/2021,Thoả thuận,Toàn thời gian,5 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
44,TESTER,CÔNG TY TNHH P.A VIỆT NAM,05/06/2021,10-20 triệu,Toàn thời gian,5 người,Nhân viên,Không yêu cầu,Không yêu cầu,Hồ Chí Minh
45,TỔ CHỨC GIÁO DỤC FPT,,02/05/21,Thoả thuận,Toàn thời gian,2 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
46,TRƯỞNG PHÒNG HÀNH CHÍNH NHÂN SỰ,Công ty TNHH MTV Ứng Dụng Kỹ Thuật và Sản xuất,05/06/2021,Thoả thuận,Toàn thời gian,1 người,Nhân viên,3 năm,Không yêu cầu,Hà Nội
47,LẬP TRÌNH VIÊN PHP,CÔNG TY TNHH E-COMMERCE LLK,07/07/2021, 10-25 triệu,Toàn thời gian,8 người,Nhân viên,2 năm,Không yêu cầu,Hồ Chí Minh
48,DEVELOPER,CÔNG TY CỔ PHẦN ĐẦU TƯ NGHIÊN CỨU PHÁT TRIỂN CÔNG NGHỆ CAO NAMI CORP,11/06/2021,Thoả thuận,Toàn thời gian,5 người,Nhân viên,1 năm,Không yêu cầu,Hồ Chí Minh
49,LẬP TRÌNH VIÊN PHP,Công ty Cổ Phần Công Nghệ Evotek Việt Nam,26/05/2021,Tới 25 triệu,Toàn thời gian,4 người,Nhân viên,2 năm,Không yêu cầu,Hà Nội
50,NHÂN VIÊN KINH DOANH,Công ty TNHH Công nghệ Sao Vega,31/05/2021,15-30 triệu,Toàn thời gian,5 người,Nhân viên,2 năm,Không yêu cầu,Hà Nội
51,SEO,THẨM MỸ VIỆN DR.VINH LÊ,03/06/2021,Trên 10 triệu,Toàn thời gian,2 người,Nhân viên,Dưới 1 năm,Không yêu cầu,Hồ Chí Minh
52,Công ty cổ phần công nghệ Nanosoft,,07/06/2021,Trên 7 triệu,Toàn thời gian,10 người,Nhân viên,Không yêu cầu,Không yêu cầu,Hà Nội
53,MARKETING ONLINE,Công ty TNHH Chế tạo Thiết Bị Điện OMEGA,31/05/2021,"Thoả thuận
",Toàn thời gian,1 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
54,BUSINESS ANALYST,CÔNG TY TNHH PHẦN MỀM BIZAPPS,16/06/2021,7-13 triệu,Toàn thời gian,2 người,Nhân viên,Dưới 1 năm,Không yêu cầu,Hồ Chí Minh
55,LẬP TRÌNH PHP,The7.vn,06/06/2021,Tới 30 triệu,Toàn thời gian,Không giới hạn,Trưởng nhóm,2 năm,Không yêu cầu,Hồ Chí Minh
56,NHÂN VIÊN SEO,công ty cổ phần hóa dầu Đô Việt (Carvin),13/05/2021,9-12 triệu,Toàn thời gian,2 người,Nhân viên,Dưới 1 năm,Không yêu cầu,Hà Nội
57,TESTER,CÔNG TY CỔ PHẦN TRUYỀN THÔNG VĂN HOÁ VIỆT,09/06/2021,8-15 triệu,Toàn thời gian,3 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
58,DESIGNER,CÔNG TY TNHH ĐẦU TƯ VÀ PHÁT TRIỂN DỊCH VỤ THƯƠNG MẠI SÀI GÒN,25/05/2021,8-12 triệu,Toàn thời gian,1 người,Nhân viên,1 năm,Không yêu cầu,Hồ Chí Minh
59,CONTENT MARKETING,Công ty TNHH TM DV Đại Đông Giang,"6/06/2021
",7-10 triệu,Toàn thời gian,1 người,Nhân viên,Không yêu cầu,Không yêu cầu,Hồ Chí Minh
60,LẬP TRÌNH VIÊN PHP,CÔNG TY TNHH CÔNG NGHỆ VÀ TƯ VẤN ĐIỂM NHẤN,09/06/2021,8-15 triệu,Toàn thời gian,1 người,Nhân viên,1 năm,Không yêu cầu,Hồ Chí Minh
61,MARKETING,Công ty cổ phần Mecar,09/06/2021,8-10 triệu,Toàn thời gian,2 người,Nhân viên,2 năm,Nữ,Hồ Chí Minh
62,DIGITAL MARKETING,CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ KINH DOANH NHÀ THỜI ĐẠI,13/06/2021,10-30 triệu,Toàn thời gian,1 người,Nhân viên,2 năm,Không yêu cầu,Hồ Chí Minh
63,NHÂN VIÊN KINH DOANH,Vutaech,08/08/2021,6-23 triệu,Toàn thời gian,5 người,Nhân viên,Dưới 1 năm,Không yêu cầu,Hồ Chí Minh
64,BACKEND DEVELOPER,CÔNG TY TNHH SUUSOFT,07/06/2021,Tới 50 triệu,Toàn thời gian,Không giới hạn,Nhân viên,3 năm,Nam,Hà Nội
65,THỰC TẬP SINH,Công ty cổ phần Flextech,09/06/2021,Thoả thuận,Bán thời gian,3 người,Thực tập sinh,Không yêu cầu,Không yêu cầu,Hà Nội
66,Công ty CP Công nghệ Cyber Eye,,09/07/2021,8-13 triệu,Toàn thời gian,2 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
67,CHĂM SÓC KHÁCH HÀNG,TNHH UPTOPZ,09/06/2021,6-7 triệu,Toàn thời gian,5 người,Nhân viên,Không yêu cầu,Không yêu cầu,Hồ Chí Minh
68,GRAPHIC DESIGNER,CÔNG TY TNHH PHÂN PHỐI TRỰC TUYẾN NHẤT NHẤT,25/05/2021,12-15 triệu,Toàn thời gian,3 người,Nhân viên,2 năm,Không yêu cầu,Hà Nội
69,DESIGNER,Công ty cổ phần thương mại trực tuyến An Thịnh Phát,09/06/2021,Trên 8 triệu,Toàn thời gian,Không giới hạn,Nhân viên,1 năm,Không yêu cầu,Hà Nội
70,SVTECH,,05/06/2021,15-25 triệu,Toàn thời gian,2 người,Nhân viên,3 năm,Nữ,Hà Nội
71,SVTECH,,05/06/2021,15-25 triệu,Toàn thời gian,2 người,Nhân viên,2 năm,Nam,Hà Nội
72,NHÂN VIÊN TELESALES,Công ty cổ phần phần mềm MeKong,09/06/2021,Thoả thuận,Toàn thời gian,5 người,Nhân viên,2 năm,Không yêu cầu,Quận 1
73,LẬP TRÌNH VIÊN MOBILE,Công ty Cổ Phần Công Nghệ Nam Long,09/06/2021,Thoả thuận,Toàn thời gian,1 người,Nhân viên,Không yêu cầu,Không yêu cầu,Hồ Chí Minh
74,DEVOPS ENGINEER,DUOH TECH,09/06/2021,30-50 triệu,Toàn thời gian,5 người,Nhân viên,3 năm,Không yêu cầu,Hồ Chí Minh
75,GAME DEVELOPER,CÔNG TY CỔ PHẦN IKAME VIỆT NAM,26/05/2021,Tới 30 triệu,Toàn thời gian,3 người,Nhân viên,Dưới 1 năm,Không yêu cầu,Hà Nội
76,GAME DESIGNER,CÔNG TY CỔ PHẦN IKAME VIỆT NAM,27/05/2021,Tới 30 triệu,Toàn thời gian,2 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
77,ANDROID DEVELOPER,CÔNG TY CỔ PHẦN IKAME VIỆT NAM,01/06/2021,Tới 34 triệu,Toàn thời gian,1 người,Nhân viên,Dưới 1 năm,Không yêu cầu,Hà Nội
78,LẬP TRÌNH VIÊN PHP,Công ty TNHH Rian Soft,08/08/2021,Tới 20 triệu,Toàn thời gian,3 người,Nhân viên,1 năm,Không yêu cầu,Hồ Chí Minh
79,BACKEND DEVELOPER,AxleHire Inc,30/06/2021,35-55 triệu,Toàn thời gian,4 người,Nhân viên,3 năm,Không yêu cầu,Hà Nội
80,FRONTEND DEVELOPER,AxleHire Inc,21/06/2021, 20-45 triệu,Toàn thời gian,2 người,Nhân viên,3 năm,Không yêu cầu,Hà Nội
81,NHÂN VIÊN IT,AxleHire Inc,31/05/2021,Thoả thuận,Toàn thời gian,4 người,Nhân viên,Dưới 1 năm,Không yêu cầu,Hà Nội
82,LẬP TRÌNH WEB,Công ty Secure One Outsource Solutions,09/06/2021,Thoả thuận,Remote - Làm việc từ xa,Không giới hạn,Nhân viên,1 năm,Không yêu cầu,Hà Nội
83,PHP,Doctor4U,09/06/2021,Thoả thuận,Toàn thời gian,Không giới hạn,Nhân viên,Không yêu cầu,Không yêu cầu,Hà Nội
84,Công ty cổ phần tập đoàn Tino,,12/05/2021,Trên 12 triệu,Toàn thời gian,1 người,Nhân viên,2 năm,Không yêu cầu,Hồ Chí Minh
85,LẬP TRÌNH VIÊN,Công ty cổ phần tập đoàn Tino,07/06/2021,Tới 40 triệu,Toàn thời gian,2 người,Nhân viên,2 năm,Không yêu cầu,Hồ Chí Minh
86,DIGITAL MARKETING,CÔNG TY CỔ PHẦN HALOCOM,09/06/2021,Thoả thuận,Toàn thời gian,2 người,Nhân viên,Dưới 1 năm,Không yêu cầu,Hồ Chí Minh
87,CÔNG TY CỔ PHẦN MND LIFE,,"9/05/2021
",Thoả thuận,Toàn thời gian,2 người,Nhân viên,2 năm,Không yêu cầu,Hồ Chí Minh
88,DIGITAL MARKETING,CÔNG TY CỔ PHẦN MND LIFE,19/05/2021,Thoả thuận,Toàn thời gian,2 người,Nhân viên,Không yêu cầu,Không yêu cầu,Hồ Chí Minh
89,NHÂN VIÊN QUAY PHIM,Công Ty TNHH ABEVN,05/06/2021,8-12 triệu,Toàn thời gian,1 người,Nhân viên,Dưới 1 năm,Không yêu cầu,Hồ Chí Minh
90,FRONT-END DEVELOPER,Công ty Cổ Phần Công Nghệ Nam Long,22/05/2021,Thoả thuận,Toàn thời gian,2 người,Nhân viên,Không yêu cầu,Không yêu cầu,Hồ Chí Minh
91,LẬP TRÌNH VIÊN,Công ty Cổ Phần Công Nghệ Nam Long,17/05/2021,Thoả thuận,Toàn thời gian,1 người,Nhân viên,1 năm,Không yêu cầu,Hồ Chí Minh
92,BUSINESS ANALYST,Công ty Cổ Phần Công Nghệ Nam Long,20/05/2021,Thoả thuận,Toàn thời gian,Không giới hạn,Nhân viên,Không yêu cầu,Không yêu cầu,Hồ Chí Minh
93,LẬP TRÌNH WEB,CÔNG TY TNHH TRUYỀN THÔNG SAIGONDIGI,10/06/2021,8-15 triệu,Toàn thời gian,5 người,Nhân viên,2 năm,Nam,Hồ Chí Minh
94,DEVELOPER,Công ty chuyển phát nhanh Thuận Phong chi nhánh Hồ Chí Minh (J&T Express),28/05/2021,Trên 9 triệu,Toàn thời gian,5 người,Nhân viên,Không yêu cầu,Không yêu cầu,Hồ Chí Minh
95,DIGITAL MARKETING,CÔNG TY CP GIẢI PHÁP CNTT LỘ TRÌNH - AVENUE JSC,31/05/2021,15-20 triệu,Toàn thời gian,1 người,Nhân viên,3 năm,Không yêu cầu,Quận 7
96,WEB DEVELOPER,"PIXTA Vietnam Co., Ltd.",09/06/2021,7-15 triệu,Toàn thời gian,1 người,Nhân viên,Dưới 1 năm,Không yêu cầu,Hà Nội
97,SEO,ECO FARMIE COMPANY LIMITED,08/06/2021,Thoả thuận,Toàn thời gian,2 người,Nhân viên,Không yêu cầu,Không yêu cầu,Hồ Chí Minh
98,NHÂN VIÊN KẾ TOÁN,Đức Huy Mobile,03/06/2021,6-10 triệu,Toàn thời gian,2 người,Nhân viên,Dưới 1 năm,Nữ,Hồ Chí Minh
99,NHÂN VIÊN MARKETING,Công Ty TNHH HIQ VINA,04/06/2021,Thoả thuận,Toàn thời gian,1 người,Nhân viên,2 năm,Không yêu cầu,Hà Nội
100,KẾ TOÁN TỔNG HỢP,Công ty CP Công nghệ Cyber Eye,09/07/2021,10-15 triệu,Toàn thời gian,2 người,Nhân viên,2 năm,Không yêu cầu,Hà Nội
101,DEVELOPER,CÔNG TY CỔ PHẦN DỊCH VỤ VÀ PHÁT TRIỂN CÔNG NGHỆ VECORP VIỆT NAM,03/06/2021,Tới 20 triệu,Toàn thời gian,2 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
102,TRƯỞNG PHÒNG MARKETING,CÔNG TY CỔ PHẦN BẤT ĐỘNG SẢN BẮC TRUNG BỘ,03/06/2021,Thoả thuận,Toàn thời gian,1 người,Trưởng/Phó phòng,1 năm,Không yêu cầu,Nghệ An
103,Công ty CP Viễn Thông Á Châu,,13/07/2021,7-20 triệu,Toàn thời gian,3 người,Nhân viên,Không yêu cầu,Nam,Hồ Chí Minh
104,CÔNG TY CỔ PHẦN EZIN VIỆT NAM,,23/05/2021,Trên 12 triệu,Toàn thời gian,2 người,Nhân viên,1 năm,Nữ,Hồ Chí Minh
105,LẬP TRÌNH WEB,CÔNG TY CỔ PHẦN TÍCH HỢP CÔNG NGHỆ VNISC,19/05/2021,10-15 triệu,Toàn thời gian,3 người,Nhân viên,Không yêu cầu,Không yêu cầu,Hà Nội
106,DIGITAL MARKETING,CÔNG TY TNHH DỊCH VỤ TRUYỀN THÔNG TIẾP THỊ TÍCH HỢP,20/05/2021,Trên 24 triệu,Toàn thời gian,2 người,Nhân viên,3 năm,Không yêu cầu,Hồ Chí Minh
107,GRAPHIC DESIGNER,CÔNG TY TNHH MỘT THÀNH VIÊN BẢO LAN MEGA CENTER,23/05/2021,Tới 12 triệu,Toàn thời gian,3 người,Nhân viên,1 năm,Không yêu cầu,Hồ Chí Minh
108,DIGITAL MARKETING,Công ty TNHH Lavender Sài Gòn,10/06/2021,15-20 triệu,Toàn thời gian,2 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
109,WEB DEVELOPER,CÔNG TY TNHH ỨNG DỤNG SỐ MỘT,02/06/2021,Tới 40 triệu,Toàn thời gian,8 người,Nhân viên,1 năm,Không yêu cầu,Hồ Chí Minh
110,CÔNG TY TNHH THƯƠNG MẠI QUỐC TẾ HẢI SẢN HOÀNG GIA,,09/06/2021,7-8 triệu,Toàn thời gian,2 người,Nhân viên,Không yêu cầu,Không yêu cầu,Hồ Chí Minh
111,VIETTELPOST - TỔNG CÔNG TY BƯU CHÍNH VIETTEL,,09/06/2021,13-18 triệu,Toàn thời gian,4 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
112,DIGITAL MARKETING,CÔNG TY CỔ PHẦN THUẾ HOA SEN,12/06/2021,Trên 15 triệu,Toàn thời gian,2 người,Nhân viên,1 năm,Không yêu cầu,Hồ Chí Minh
113,DEVELOPER,Công ty cổ phần MISA - Trung tâm Phát triển phần mềm,10/06/2021,10-35 triệu,Toàn thời gian,Không giới hạn,Nhân viên,Dưới 1 năm,Không yêu cầu,Hà Nội
114,PHP,CÔNG TY CỔ PHẦN DỊCH VỤ VÀ PHÁT TRIỂN CÔNG NGHỆ VECORP VIỆT NAM,04/06/2021,Trên 1 triệu,Toàn thời gian,7 người,Nhân viên,Không yêu cầu,Không yêu cầu,Hà Nội
115,Công ty TNHH Thương mại và Dịch vụ Đồ uống Vietblend,,04/06/2021,12-15 triệu,Toàn thời gian,2 người,Nhân viên,2 năm,Không yêu cầu,Hà Nội
116,CÔNG TY CỔ PHẦN HTC VIỄN THÔNG QUỐC TẾ,,15/05/2021,Thoả thuận,Toàn thời gian,2 người,Nhân viên,2 năm,Không yêu cầu,Hà Nội
117,CHUYÊN VIÊN KINH DOANH,CÔNG TY CỔ PHẦN HTC VIỄN THÔNG QUỐC TẾ,20/05/2021,Tới 50 triệu,Toàn thời gian,3 người,Nhân viên,1 năm,Không yêu cầu,Hồ Chí Minh
118,CÔNG TY CỔ PHẦN HTC VIỄN THÔNG QUỐC TẾ,,27/05/2021,Thoả thuận,Toàn thời gian,2 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
119,CÔNG TY TNHH VAREAL VIỆT NAM,,20/05/2021,Thoả thuận,Toàn thời gian,5 người,Thực tập sinh,Không yêu cầu,Không yêu cầu,Hà Nội
120,CÔNG TY CỔ PHẦN CÔNG NGHỆ VCS VIỆT NAM,,"8/06/2021
",15-20 triệu,Toàn thời gian,3 người,Trưởng nhóm,Không yêu cầu,Không yêu cầu,Hà Nội
121,ASP.NET,CÔNG TY CỔ PHẦN CÔNG NGHỆ VCS VIỆT NAM,08/06/2021,15-20 triệu,Toàn thời gian,3 người,Nhân viên,Không yêu cầu,Không yêu cầu,Hà Nội
122,ANDROID,Eco Mobile,08/06/2021,2-4 triệu,Toàn thời gian,7 người,Thực tập sinh,Không yêu cầu,Không yêu cầu,Hà Nội
123,BUSINESS ANALYST,Công ty Thiết kế Thương mại DLS,08/06/2021,Tới 40 triệu,Toàn thời gian,2 người,Nhân viên,2 năm,Không yêu cầu,Hà Nội
124,PHP DEVELOPER,Công ty Thiết kế Thương mại DLS,08/06/2021,Tới 40 triệu,Toàn thời gian,2 người,Nhân viên,3 năm,Không yêu cầu,Hà Nội
125,Công ty Thiết kế Thương mại DLS,,18/06/2021,Tới 45 triệu,Toàn thời gian,1 người,Trưởng nhóm,6 năm,Không yêu cầu,Hà Nội
126,Công ty cổ phần mạng trực tuyến META,,20/05/2021,6-8 triệu,Toàn thời gian,2 người,Nhân viên,Không yêu cầu,Không yêu cầu,Hà Nội
127,IOS DEVELOPER,CÔNG TY CỔ PHẦN IKAME VIỆT NAM,01/06/2021,Tới 25 triệu,Toàn thời gian,1 người,Nhân viên,2 năm,Không yêu cầu,Hà Nội
128,NHÂN VIÊN KINH DOANH,Công ty cổ phần phần mềm MeKong,"9/05/2021
",Thoả thuận,Toàn thời gian,2 người,Nhân viên,2 năm,Không yêu cầu,Kiên Giang
129,TESTER,Công ty cổ phần phần mềm MeKong,28/05/2021,Thoả thuận,Toàn thời gian,2 người,Nhân viên,2 năm,Không yêu cầu,Quận 1
130,Công ty TNHH WAV,,28/05/2021,Trên 20 triệu,Toàn thời gian,3 người,Nhân viên,1 năm,Không yêu cầu,Hồ Chí Minh
131,VIDEO EDITOR,"Công ty TNHH Đầu tư, Thương mại và Dịch vụ Việt Kiên",08/07/2021,8-15 triệu,Toàn thời gian,1 người,Nhân viên,Dưới 1 năm,Không yêu cầu,Hà Nội
132,LẬP TRÌNH VIÊN PHP,Công ty TNHH AgileTech Việt Nam,08/06/2021,Thoả thuận,Toàn thời gian,Không giới hạn,Nhân viên,Không yêu cầu,Không yêu cầu,Hà Nội
133,NHÂN VIÊN KỸ THUẬT,Công ty TNHH TIN HỌC NGÔI SAO LỚN,26/05/2021,Trên 8 triệu,Toàn thời gian,5 người,Nhân viên,Dưới 1 năm,Nam,Hồ Chí Minh
134,SVTECH,,08/06/2021,15-25 triệu,Toàn thời gian,2 người,Nhân viên,2 năm,Nam,Hà Nội
135,LẬP TRÌNH VIÊN,CÔNG TY TNHH CÔNG NGHỆ ALADIN,08/06/2021,10-40 triệu,Toàn thời gian,10 người,Nhân viên,Không yêu cầu,Không yêu cầu,Hà Nội
136,CÔNG TY CỔ PHẦN PIRAMIC SÀI GÒN,,06/08/2021,7-10 triệu,Toàn thời gian,4 người,Nhân viên,Dưới 1 năm,Nam,Hồ Chí Minh
137,NHÂN VIÊN KỸ THUẬT,iPOS.vn,20/05/2021,8-15 triệu,Toàn thời gian,2 người,Nhân viên,Dưới 1 năm,Nam,Thừa Thiên Huế
138,JAVASCRIPT,iPOS.vn,30/06/2021,Thoả thuận,Toàn thời gian,2 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
139,JAVA,iPOS.vn,30/06/2021,Thoả thuận,Toàn thời gian,2 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
140,MOBILE DEVELOPER,Splus Software,07/06/2021,12-18 triệu,Toàn thời gian,3 người,Nhân viên,Không yêu cầu,Không yêu cầu,Hồ Chí Minh
141,IT COMTOR,Splus Software,07/06/2021,10-15 triệu,Toàn thời gian,3 người,Nhân viên,Không yêu cầu,Nữ,Hồ Chí Minh
142,IT SUPPORT,Splus Software,07/06/2021,7-9 triệu,Toàn thời gian,1 người,Nhân viên,Dưới 1 năm,Nam,Hồ Chí Minh
